Sent_id,Ambiguous Sentence,,,
cnh_46385,Benzersiz bir hayata sahip olmayı düşler her insan.,,,
cjl_93407,Hakim buradaki gibi bir davaya bakmak istiyor.,,,
cxb_53439,Kamil istiyor bir kanepede uyumak.,,,
chq_83944,Leman o gece bir kaşif ile tanışmayı arzuluyormuş.,,,
ctt_65537,Büşra kütüphaneden bir kitap ödünç almak istiyordu.,,,
cso_26586,Bir köyden ev almak istiyor Gülsüm.,,,
cwz_43220,Filiz geçen sene bir yazlık almak istiyordu.,,,
cmp_80775,Hüseyin bir uzmanla fikir alışverişi yapmak istiyor.,,,
czx_10919,Teoman başka bir sanatçı ile düet yapmak istiyor.,,,
cvk_75865,Başka bir yetenekli yarışmacıyı değerlendirmek istiyor Zerrin.,,,
cjh_20467,Öğrencilerden biri bir sunum yapmak istiyormuş.,,,
cly_98612,Başka bir marketten meyve almak istiyor Hülya.,,,
cec_10119,Nazım istiyordu ki bir daha bir deniz kızının şarkısı yarıda kalmasın.,,,
cnc_25461,Mercan bir yaşlıdan tavsiye almak istiyor.,,,
cef_41685,Filiz güzel bir arabayı almak istiyor.,,,
ccy_38957,Suat bir doktora görünmek istiyor.,,,
cok_24050,dün Leyla salonun duvarına bir tablo asmak istiyordu.,,,
cvf_20248,Büşra mağazadan bir elbise almak istiyordu.,,,
cfo_86173,Anıl eski bir bisiklet almayı planlıyormuş.,,,
ceb_32096,Doğanay sevgilisini bir gece treninde yakalayabileceğini umuyor.,,,
cmc_38584,Konuşkan biriyle hasbihal etmek istiyor Nazan.,,,
cvh_24535,Gaye bir sınavdan yüksek puan almak istiyor.,,,
cjo_13092,İmge istiyor başka bir konuda konuşmak.,,,
cgl_12312,Özlem başka bir yazı yazmak istiyor.,,,
cff_94696,uzun boylu öğrenci zor bir soru sormak istiyormuş.,,,
cdq_88896,Buse uzun zamandır buraya bir avize almak istiyordu.,,,
cfo_86845,Handan her sabah hayatını değiştirecek bir insanla tanışmayı diliyor.,,,
cac_38213,Bunun gibi bir adama hayran olmak istiyor Beren.,,,
cbd_66681,Gülsüm en kısa zamanda bir doktor görmek istiyormuş.,,,
cdb_24274,izmir'deki gibi bir sahilde güneşlenmek istiyor Selin.,,,
cma_74820,İlke uzun bir kitabı bitirmek istiyor.,,,
cgw_11624,Reyhan bir kurabiyeden ısırık almak istiyor.,,,
cqj_55290,bir misafirin pencereyi açık bıraktığını düşünüyor Asude.,,,
cvn_83689,zeynep'inki gibi bir makaleden bahsetmek istiyor Ayla.,,,
cnd_84283,sınıftaki kız bir kitap almak istiyormuş.,,,
ccn_33233,Beyza rahat bir yatakta uyumak istiyor.,,,
chn_62643,Talha bir ziyaretçinin kilidi kırdığını düşünüyor.,,,
cgl_98477,Olcay istiyor başka bir arabada seyahat etmek.,,,
czz_36231,Bir ateş almak için demirciye uğrayamayacağından korkuyordu Uve.,,,
cds_11645,Evren ablası gibi bir astronot olmayı arzu ediyor.,,,
cvk_68217,komşunun oğlu bir tamirci öpmek istiyormuş.,,,
cws_76692,Akıllı bir insan varını yoğunu satıp savıp yeni bir maceraya yelken açmaz.,,,
cck_63638,Helin başka bir denizden balık tutmak istiyor.,,,
cvy_22223,Ayşe bahçede bir köpek beslemek istiyordu.,,,
cqh_90118,Çolpan onunla aynı mesleği yapanların çoğunun hayattan keyif alamadığından şüpheleniyor.,,,
cmv_95673,Berke istiyor başka bir dosyayla ilgilenmek.,,,
cyk_11837,Mutfağa bir sandalye koymak istiyordu.,,,
cps_49576,Atacan bir uzmandan görüş almak istiyor.,,,
cpq_69872,Bir halıya süt dökmenin geri dönülmez bir hata olmadığını düşünecekti Mırnav.,,,
cxe_11357,Benim gibi bir öğrenciyle görüşmek istiyor Fikriye.,,,
cfw_73324,Orkun başka bir kravat takmak istiyor.,,,
cpf_97428,Itır odadan kaçabilmek için gizli bir geçidi bulmalıydı.,,,
clq_46091,Geçen ay Büşra balkonunda bir kedi beslemek istiyordu.,,,
csc_53638,arkadaşına özel bir hediye almak istiyormuş.,,,
cjy_58288,Bir çiçeğe su vermek istiyor küçük çocuk.,,,
cnk_83597,"Leyla, ayşe'ninki gibi kırmızı bir araba almak istiyor.",,,
cud_98475,Zor bir bölümü geçmek istiyor Mehmet.,,,
cwq_92047,seninki gibi bir elbiseyi giymek istiyor Ilgın.,,,
cmf_45030,Leyla bahçedeki gibi bir arabayla gezmek istiyor.,,,
cmw_92409,Hülagü karayipler'deki gibi bir restoranda yemek yemek istiyor.,,,
cls_25105,Melike etkileyici bir şiir okumak istiyormuş arkadaşına.,,,
cbu_99836,Erkan istiyor bir apartmanda yaşamak.,,,
cyw_50200,Lale bir panda görmek istiyormuş.,,,
cqu_58779,Ayşe gibi bir gazeteciye röportaj vermek istiyor şarkıcı.,,,
clv_32659,Buket benimki gibi bir bilgisayarla çalışmak istiyor.,,,
cuc_96218,Bir ağaçtan meyve toplamak istiyor Tahsin.,,,
cvu_46898,Komşunun kızı bir tesisatçı öpmek istiyormuş.,,,
can_37333,Başka bir kadınla öpüşmek istiyor Nuran.,,,
cxo_67379,başkanınki gibi bir makam arabasını sürmek istiyor Şoför.,,,
cjs_54659,Bir uzmana danışmak istiyor Yaren.,,,
cze_71710,Urla'daki gibi bir organik pazardan alışveriş yapmak istiyor Bensu.,,,
cfn_72191,Gözde bir çiçeği sulamak istiyor.,,,
chs_82219,Bener bir öğretmene soru sormak istiyor.,,,
czk_29640,Ajda bir pop şarkısı çıkarmayı düşünüyor.,,,
cpu_69013,başka bir salonda dinlenmek istiyor Yağız.,,,
cvq_37878,Feriha bir ayakkabıyı almak istiyormuş.,,,
cqr_53747,Şeyma sessiz bir odada çalışmak istiyor.,,,
czd_33017,Haydar'ınki gibi bir şirketten ayrılmak istiyor Cüneyt.,,,
cbn_86084,komşununki gibi canlı renkli kıyafetleri yıkamak istiyor Yasemin.,,,
cdc_87596,Nusret iki aydır bir köfte yapmak istiyormuş.,,,
ctg_97307,Dedem gazetedeki bir haberi okumam gerektiğini söyledi.,,,
cqt_78203,Hilal bir boksörle kavga etmek istiyor.,,,
cfa_57057,Ege istiyor başka bir okula gitmek.,,,
csy_76135,Duyulamayan sesleri bir gazete aracılığıyla herkese duyurmayı arzuluyordu Menekşe.,,,
col_85192,"Ayşe, bir çocuk evlat edinmek istiyordu.",,,
cfh_18384,Günseli bir tesisatçıya aşık olmak istiyor.,,,
cel_76121,Başka bir araba tamir etmek istiyor Remzi.,,,
cft_43360,arkadaşımınki gibi bir araba almak istiyorum.,,,
cwq_25425,Helen bir mercimek çorbasının tadının başka hiçbir yemekte bulunmayacağına kanaat getirdi.,,,
clz_95663,Asude hikmet gibi bir tesisatçıyla öpüşmek istiyor.,,,
cxm_26111,Yaren alışveriş merkezindeki gibi bir sinemada film izlemek istiyor.,,,
clu_75186,Hilmi istiyor başka bir işle uğraşmak.,,,
cwh_66241,Selim bir kamyonet almak istiyordu.,,,
cjh_39970,başka bir şehirden ev almak istiyor Yaren.,,,
csy_90906,öğrenci bir soru sormak istiyormuş.,,,
cjp_11419,Prenses bu ara bir kurbağa öpmek istiyormuş.,,,
cxe_76169,Ayşe geziye başka bir ülkeden başlamak istiyor.,,,
coj_78667,Sırasının gelmesini bir bekleme odasında beklemek istiyor hasta.,,,
cld_71171,Sezen başka bir makaleye referans vermek istiyor.,,,
cif_89504,Rüveyda başka bir dizide oynamak istiyor.,,,
csn_32923,Sacit bir hemşirenin şırıngaya yanlış ilaç koyduğundan şüpheleniyor.,,,
cwu_13916,Başka bir ülkeye yerleşmek istiyor Ilgın.,,,
cdx_66155,Miray yorucu bir görevi tamamlamak istiyor.,,,
cos_44230,Bir astronotun verdiği röportaj tüm uzayseverlerde merak uyandırdı.,,,
ckl_97778,"Selin, büşra'nınki gibi bir çanta almak istiyor.",,,
cua_29754,başka bir arabayla yola çıkmak istiyor Turan.,,,
csc_18765,Başka bir esere hayran olmak istiyor Hüma.,,,
cpf_73436,Başka bir yemek yemek istiyor Pınar.,,,
cwz_43458,Hikmet Pelin'inki gibi uzun tırnakları olmasını istiyor.,,,
cxj_97772,Bir marangozla çalışmak istiyor Kaan.,,,
cud_66783,Başka bir Avrupa ülkesini ziyaret etmek istiyor Jülide.,,,
cjd_15806,Kötü deneyimler yaşayan Babür için bile olumlu bir düşünce üretmek mümkündü.,,,
czl_15892,O postacı sıradışı yerlerden mektup alan bir komşumuz ile evlenmek istiyormuş.,,,
cxg_33103,Kilimcinin kör oğlu benzersiz bir operet dinlemek istiyordu.,,,
cek_99606,Nilay başka bir ülkeden ithalat yapmak istiyor.,,,
cla_81279,Meltem'inki gibi bir kitap okumak istiyorum.,,,
ccd_32501,Başka bir okulda daha mutlu olabileceğini düşünüyor Burak.,,,
cxw_93885,Ferit buradaki gibi bir salonda konferans vermek istiyor.,,,
cva_40832,Kağan Urla'daki gibi bir manzaraya bakmak istiyor.,,,
zzz_00000,split0,,,
cbg_94415,Her insanın yaşamak istediği bir benzsersiz hayat vardır.,,,
ctt_98362,Hakimin bakmak istediği dava buradaki gibi.,,,
cxp_12649,Kamil'in uyumak istediği bir kanepe var.,,,
clm_36686,Leman'ın o gece tanışmayı arzuladığı bir kaşif vardı.,,,
cfg_78078,Büşra'nın kütüphaneden ödünç almak istediği belli bir kitap var.,,,
cbs_87303,Gülsüm'ün ev almak istediği bir köy var.,,,
cjf_38437,Filiz'in geçen yaz almayı istediği bir yazlık vardı.,,,
cnz_10327,Hüseyin'in fikir alışverişi yapmak istediği kişi bir uzman.,,,
crw_23865,Teoman'ın düet yapmak istediği kişi bir sanatçı.,,,
cll_47192,Zerrin'in değerlendirmek istediği kişi başka bir yetenekli sanatçı.,,,
cvh_33247,Öğrencilerden birinin yapmak istediği bir sunummuş.,,,
cmw_77317,Hülya'nın meyve almak istediği mekan başka bir market.,,,
czq_71206,Nazım'ın şarkısı bir daha yarım kalmasın istediği birey bir deniz kızı.,,,
cnk_81482,Mercan'ın tavsiye almak istediği kişi yaşlı.,,,
cly_34204,Filiz'in almak istediği araba güzel.,,,
cur_50992,Suat'ın görünmek istediği kişinin mesleği doktor. ,,,
ccv_34112,Leyla'nın salonun duvarına dün asmak istediği şey bir tabloydu.,,,
caa_68225,Büşra'nın mağazadan almak istediği kıyafet bir elbiseydi.,,,
czw_43441,Anıl planlıyormuş ki eski bisikleti alsın.,,,
cvv_12513,Doğanay'ın sevgilisini yakalamayı umduğu taşıt gece treni.,,,
cpd_69614,Nazan'ı hasbihal etmek istediği kişi konuşkan.,,,
czq_82976,Gaye'nin yüksek puan almak istediği bir sınav var.,,,
ccf_94082,İmge'nin hakkında konuşmak istediği konu başka.,,,
ced_60562,Özlem'in yazmak istediği yazı başka.,,,
csp_66636,Uzun boylu öğrencinin sormak istediği soru zormuş.,,,
cdx_39685,Buse'nin uzun zamandır buraya almak istediği bir avize.,,,
cqw_48092,"Handan'ın her sabahki dileği, hayatını değiştirecek o insanla tanışmak.",,,
ccf_10621,"Beren'in hayran olmak istediği, bunun gibi bir adam.",,,
cjc_38009,"En kısa zamanda görmek istediği Gülsüm'ün, bir doktormuş.",,,
cul_81020,Selin'in güneşlenmek istediği sahil İzmir'deki gibi.,,,
cxb_69865,İlke'nin bitimek istediği kitap uzun.,,,
cix_11933,Reyhan'ın ısırık almak istediği yiyecek bir kurabiye.,,,
ceq_95162,Asude düşünüyor ki pencereyi misafir açık bıraktı.,,,
cjq_94253,Ayla'nın bahsetmek istediği makale Zeynep'inkine benziyor.,,,
cxv_16639,Sınıftaki kızın almayı istediği şey bir kitap.,,,
cgd_67516,"Beyza istiyor yatakta uyusun, rahat olanda.",,,
cjb_26283,Talha kilidin belli bir ziyaretçi tarafından kırıldığını düşünüyor.,,,
cti_44265,Olcay'ın seyahat etmeyi istediği araba başkası.,,,
cma_30396,Uve istediği ateşi almak için demirciye uğrayamayacağından korkuyor.,,,
czu_11234,Evren'in olmayı arzu ettiği astronot ablası gibi.,,,
cul_25938,Komşunun oğlunun öpmek istediği bireyin mesleği tamircilikmiş.,,,
cve_26944,Akıllı insanın varını yoğunu satıp savıp yelken açmayacağı şey bir macera.,,,
ceu_62638,Helin balık tutmak istiyor bir denizde ve o deniz başka bir deniz.,,,
cql_83312,Ayşe istiyor bahçede bir köpeği beslemeyi.,,,
crh_36168,Çolpan'ın hayattan keyif almadığından şüphelendiği insanlar onunla aynı mesleği yapıyor.,,,
cbe_34290,Berke'nin ilgilenmek istediği dosya başka.,,,
cbn_84682,Sandalyeyi mutfağa koymak istiyordu.,,,
cbn_98838,Atacan uzmandan görüş almak istiyordu.,,,
cjf_73245,Mırnav düşünecekti ki belli bir halıya süt dökmek geri dönülmez bir hata değil.,,,
crc_86443,Fikriye'nin görüşmek istediği öğrenci benim gibi.,,,
cpp_60581,Orkun'un takmak istediği kravat başka.,,,
cex_62307,Itır'ın odadan kaçabilmek için bulması gereken geçit gizli.,,,
cvm_62374,Geçen ay Büşra'nın balkonunda beslemek istediği hayvan kediydi.,,,
ckl_11303,Arkadaşına almak istediği özel şey hediyeymiş.,,,
cda_55295,Küçük çocuğun sulamak istediği bir çiçek.,,,
cmn_44665,Leyla'nın almak istediği kırmızı araba Ayşe'ninki gibi.,,,
cby_31681,Mehmet'in geçmek istediği bölüm zor.,,,
cnj_19430,Ilgın'ın giymek istediği elbise seninki gibi.,,,
csh_47571,Leyla'nın gezmek istediği bahçedeki gibi bir araba.,,,
cjp_25509,Hülagü'nün yemek yemek istediği restoran Karayipler'deki gibi.,,,
cue_86401,Melike'nin arkadaşına okumak istediği şiir etkileyiciymiş.,,,
cmn_72062,Belli bir apartmanda yaşamak isteyen Erkan'mış.,,,
cnu_92268,Görmek istediği bir panda olan Lale'ymiş.,,,
cyl_75368,Şarkıcının röportaj vermek istediği basın mensubu Ayşe gibi bir gazeteci.,,,
cyf_66792,Buket'in çalışmak istediği bilgisayar benimki gibi.,,,
clp_82645,Tahsin'in meyve toplamak istediği bir ağaç.,,,
csa_64971,Komşunun kızının öpmek istediği biri varmış ve tesisatçıymış.,,,
cfy_96808,Nuran'ın öpüşmek istediği biri var ve başka bir kadın.,,,
cmv_77745,"Şoförün sürmek istediği makam arabası, başkanınki gibi bir makam arabası.",,,
cwk_20899,Yaren'in danışmak istediği kişi uzman.,,,
cuj_63491,Bensu'nun alışveriş yapmak istediği organik pazar Urla'daki gibi.,,,
cnn_35309,Gözde'nin sulamaya niyetlendiği bitki çiçek.,,,
cvb_75055,Bener'in öğretmene soracağı bir soru.,,,
cwn_79984,Ajda'nın çıkarmayı düşündüğü şey pop şarkısı.,,,
ccd_46501,Yağız'ın dinlenmek istediği salon başka.,,,
cjd_86025,Feriha'nın almak istediği şey bir ayakkabıymış.,,,
cgt_34330,Şeyma'nın çalışmak istediği oda sessiz.,,,
cyo_76171,Haydar'ınki gibi Cüneyt'in ayrılmak istediği şirket.,,,
cif_46271,Komşununki gibi canlı renkli yıkamak istediği kıyafetler Yasemin'in.,,,
czq_75665,Nusret'in iki aydır yapmak istediği şey bir köfteymiş.,,,
ciq_23526,Dedemin okumam gerektiğini söylediği haber gazetede.,,,
cby_61870,Hilal'in kava etmek istediği kişi bir boksör.,,,
cne_43320,Ege'nin gitmek istediği başkası.,,,
cfa_85641,Menekşe'nin duyulamayan sesleri herkese duyurmak için kullanmayı arzuladığı aracı gazeteydi.,,,
cyj_81716,Ayşe'nin evlat edinmek istediği çocuktu.,,,
czs_40531,Günseli'nin aşık olmak istediği kişinin mesleği tesisatçılık.,,,
cvv_66540,Başka Remzi'nin tamir etmek istediği araba.,,,
cvc_34495,Almak istediğim araba arkadaşımınki gibi.,,,
cau_30162,Helen kanaat getirdi ki tadının başka hiçbir yemekte bulunamayacağı şey bir mercimek çorbası.,,,
czy_41788,Asude'nin öpüşmek istediği tesisatçı Hikmet gibi. ,,,
cow_28167,Yaren'in film izlemek istediği sinema alışveriş merkezindeki gibi.,,,
cmy_74144,Hilmi'nin uğraşmak istediği iş başka.,,,
cux_50739,Selim'in almak istediği başka bir kamyonet var.,,,
cfl_85867,Yaren'in ev almak istediği başka bir şehir var.,,,
cay_63626,Öğrencinin sormak istediği başka bir soru.,,,
cxq_90016,Prensesin bu ara öpmek istediği hayvan bir kurbağaymış.,,,
car_32604,Ayşe'nin geziye başlamak istediği yer başka bir ülkeymiş.,,,
cff_78784,Hasta sırasının gelmesini bekleme odasında beklemeyi istiyor.,,,
cpp_86863,Sezen'in referans vermek istediği başka bir makale.,,,
cij_98674,Rüveyda'nın oynamak istediği dizi bundan başkası.,,,
czm_62660,Sacit'in şırıngaya yanlış ilaç koyduğundan şüphelendiği kişi bir hemşire.,,,
cwt_87625,Ilgın'ın yerleşmek istediği yer başka.,,,
cji_93495,Miray'ın tamamlamak istediği yorucu şey bir görev.,,,
chz_64673,Tüm uzayseverlerde merak uyandıran röportajı veren bir astronot.,,,
ccu_37734,Selin'in almak istediği çanta Büşra'nınki gibi.,,,
ccz_89547,Turan'ın yola çıkmak istediği araç başka bir araba.,,,
cen_51912,Hüma'nın hayran olmak istediği eser başka.,,,
crg_17278,Pınar'ın aklında yemek istediği başka bir yemek var.,,,
cxc_77352,Hikmet'in sahip olmak istediği tırnaklar Pelin'inki gibi uzun.,,,
cot_41048,Kaan'ın çalışmak istediği kişinin mesleği marangozluk.,,,
cyh_68738,Jülide'nin ziyaret etmek istediği yer başka bir Avrupa ülkesi.,,,
cxm_80865,Kötü deneyimler yaşmasına rağmen Babür için üretmesi mümkün olan düşünce olumluydu.,,,
cyn_36408,O postacının evlenmek istediği komşumuz sıradışı yerlerden mektup alıyormuş.,,,
cjo_50590,"Kilimcinin kör oğlu isityordu ki benzersiz bir şey dinlesin, bu şey de belli bir operet olsun.",,,
ckw_10034,Nilay'ın ithalat yapmak istediği yer başka bir ülke.,,,
cgc_37704,"Okumak istediğim kitap, Meltem'inki gibi bir kitap.",,,
csy_27492,Burak'ın daha mutlu olabileceğini düşündüğü yer başka bir okul.,,,
cvk_94959,Ferit'in konfernas vermek istediği salon buradakine benziyor.,,,
cbg_89736,Kağan'ın bakmak istediği manzara Urla'daki gibi.,,,
zzz_00001,split1,,,
csq_33435,Herkes benzersiz bir hayat yaşamak ister.,,,
cxm_33093,Hakim bakacağı davanın buradaki gibi olmasını istiyor.,,,
cjv_68395,Kamil'in istediği bir kanepede uyumak.,,,
cgc_81416,Leman o gece bir kaşifle tanışmayı arzuladı.,,,
ctx_11054,Büşra'nın istediği kütüphaneden bir kitap ödünç almak.,,,
cra_21579,Gülsüm alacağı evin bir köyde olmasını istiyor.,,,
cjq_40787,Filiz'in geçen almak istediği bir yazlıktı.,,,
cbl_44898,Hüseyin fikir alışverişi yapacağı kişinin bir uzman olmasını istiyor.,,,
clp_33070,Teoman düet yapacağı kişinin bir sanatçı olmasını istiyor.,,,
cbc_65736,Zerrin başka herhangi bir yetenekli yarışmacıyı değerlendirmek istiyor.,,,
cyu_49280,Öğrencilerden birinin istediği sunum yapmak.,,,
ceh_23263,Hülya'nın istediği başka marketten meyve almak.,,,
chq_49305,Nazım istiyordu ki bir daha hiçbir deniz kızının şarkısı yarıda kalmasın.,,,
clo_86762,Mercan tavsiye alacağı kişinin yaşlı olmasını istiyor.,,,
ckw_20224,Filiz alacağı şeyin güzel bir araba olmasını istiyor.,,,
cuo_67123,Suat'ın görünmek istediği herhangi bir doktor.,,,
ctd_40343,Leyla dün salon duvarına tablo asmak istiyordu.,,,
cbm_58251,Büşra mağazadan alacağı şeyin bir elbise olmasını istiyordu.,,,
cqh_24027,Anıl alacağı şeyin eski bir bisiklet olmasını planlıyormuş.,,,
cae_94323,Doğanay sevgilisini gece trenlerinde yakalayabileceğini umuyor.,,,
crc_89846,Nazan hasbihal edeceği kişinin konuşkan olmasını istiyor. ,,,
cwr_22397,Gaye yüksek puan aldığı bir sınav olmasını istiyor.,,,
cfo_52923,İmge konuşacağı konunun farklı olmasını istiyor.,,,
cij_21684,Özge başka herhangi bir yazı yazmak istiyor.,,,
cbj_66317,Uzun boylu öğrenci zor soru sormak istiyor.,,,
cfj_79300,Buse uzun zamandır avize almak istiyor buraya.,,,
cpo_73912,Handan her sabah diliyor ki hayatını değiştirme kabiliyetine sahip biriyle tanışsın.,,,
chr_58586,Beren bunun gibi herhangi bir adama hayran olmak istiyor.,,,
cpv_28474,Gülsüm en kısa zamanda mesleği doktorluk olan birini görmek istiyor.,,,
cyu_57433,Selin bir sahilde güneşlenmek istiyor İzmir'deki gibi olan.,,,
cbf_81900,İlke bitireceği kitabın uzun olmasını istiyor.,,,
cbl_29932,Reyhan ısırık alacağı yiyeceğin kurabiye olmasını istiyor.,,,
ced_11582,Asude pencerenin bir misafir tarafından açık bırakıldığını düşünüyor.,,,
cxi_67495,Ayla bahsedeceği makalenin Zeynep'inki gibi olmasını istiyor.,,,
cnw_94968,Sınıftaki kız alacağı şeyin bir kitap olmasını istiyormuş.,,,
czw_98132,Beyza uyuyacağı yatağın rahat olmasını istiyor.,,,
cqk_38155,Talha kilidin herhangi bir ziyaretçi tarafından kırıldığını düşünüyor.,,,
cyz_66582,Olcay seyahat edeceği arabanın başka olmasını istiyor.,,,
cbi_79338,Uve demirciye ateş almak için uğrayamayacağından korkuyor.,,,
cjj_39947,Evren astronot olmak ve ablası gibi olmak istiyor.,,,
cxi_46359,Komşunun oğlu öpeceği kişinin mesleğinin tamircilik olmasını istiyor.,,,
cku_87512,Akıllı insan varını yoğunu satıp herhangi bir maceraya yelken açmaz.,,,
cnt_99338,Helin balık tutacağı denizin başka olmasını istiyor.,,,
csn_75167,Ayşe bahçede besleyeceği hayvanın köpek olmasını istiyor.,,,
cox_98228,Çolpan hayattan keyif almayan insanların mesleğinin onunla aynı olduğunu düşünüyor.,,,
col_22631,Berke ilgileneceği dosyanın farklı olmasını istiyor.,,,
cam_81320,Mutfağa koyacağı şeyin bir sandalye olmasını istiyor.,,,
cuv_88158,Atacan görüş alacağı kişinin bir uzman olmasını istiyor.,,,
cdq_19966,Mırnav herhangi bir halıya süt dökmenin geri dönülmez bir hata olmayacağını düşünüyor.,,,
ciq_92039,Fikriye görüşeceği kişinin benim gibi bir öğrenci olmasını istiyor.,,,
ckq_41565,Orkun takacağı kravatın başka olmasını istiyor.,,,
cgk_46938,Itır odadan kaçabilmek için bir geçit bulmalı ve bu geçit gizli olmalı.,,,
cnv_56495,Büşra geçen ay balkonunda besleyeceği hayvanın kedi olmasını istiyordu.,,,
cdt_92463,Arkadaşına özel hediye almak istiyormuş.,,,
civ_79248,Küçük çocuk çiçek sulamak istiyor.,,,
cdo_82351,Leyla alacağı arabanın Ayşe'ninki gibi kırmızı olmasını istiyor.,,,
ccd_12162,Mehmet geçeceği bölümün zor olmasını istiyor.,,,
cke_72872,Ilgın giyeceği elbisenin seninki gibi olmasını istiyor.,,,
clc_37954,Leyla gezeceği arabanın bahçedeki gibi olmasını istiyor.,,,
cmz_35054,Hülagü Karayipler'dekine benzeyen herhangi bir restoranda yemek yemek istiyor.,,,
cke_96792,Melike arkadaşına okuyacağı şiirin etkileyici olmasını istiyor.,,,
csd_66205,Erkan yaşayacağı yerin bir apartman olmasını istiyor.,,,
cds_97743,Lale panda görmek istiyor.,,,
czz_64758,Şarkıcı röportaj vereceği gazetecinin Ayşe gibi olmasını istiyor.,,,
cmt_14990,Buket çalışacağı bilgisayarın benimkine benzemesini istiyor.,,,
clm_33368,Tahsin ağaçtan meyve toplamak istiyor.,,,
clz_34910,Komşunun kızı tesisatçı öpmek istiyor.,,,
cnu_56556,Başka bir kadınla öpüşmek Nuran'ın yapmak istediği şey.,,,
cop_49985,Şoför süreceği arabanın başkanınki gibi olmasını isityor.,,,
cim_37866,Yaren danışacağı kişinin uzman olmasını istiyor.,,,
caa_39200,Bensu alışverişi Urla'daki gibi bir organik pazardan yapmak istiyor.,,,
cmy_80841,Gözde çiçek sulamak istiyor.,,,
cin_89212,Bener öğretmene soru sormak istiyor.,,,
ctl_28273,Ajda şarkı çıkarmak istiyor ve çıkaracağı şarkı pop türünde olsun istiyor.,,,
crp_78536,Yağız dinleneceği salonun başka olmasını istiyor.,,,
cgk_90272,Feriha herhangi bir ayakkabı almak istiyor.,,,
crr_31173,Şeyma çalışacağı oda sessiz olsun istiyor.,,,
cpu_76002,Cüneyt ayrılacağı şirketin Haydar'ınkine benzemesini istiyor.,,,
cfh_69628,Yasemin yıkayacağı kıyafetlerin rengi tıpkı komşununkiler gibi canlı olsun istiyor.,,,
cke_64701,Nusret iki aydır köfte yapmak istiyor.,,,
czf_43315,Dedem gazeteden haber okumam gerektiğini söyledi.,,,
cgy_74540,Hilal kavga edeceği kişinin mesleğinin boksörlük olmasını isitiyor.,,,
cte_66281,Ege gideceği okulun bundan başka olmasını istiyor.,,,
cvz_57758,Menekşe'nin arzusu duyulamayan sesleri herhangi bir gazete aracılığıyla herkese duyurmaktı.,,,
cem_69364,Ayşe çocuk evlat edinmek istiyordu.,,,
cqg_65312,Günseli aşık olacağı kişinin tesisatçılık mesleğinde olmasını isitiyor.,,,
cfe_64629,Remzi tamir edeceği araba başka olsun istiyor.,,,
czf_34644,Alacağım araba arkadaşımınkine benzesin istiyorum.,,,
csz_61687,Helen başka hiçbir yemeğin mercimek çorbasının tadına sahip olamayacağına kanaat getirdi.,,,
csb_65996,Asude öpüşeceği kişinin Hikmet gibi tesisatçı olmasını istiyor.,,,
cpu_46380,Yaren film izleyeceği sinemanın alışveriş merkezindekine benzemesini istiyor.,,,
cep_23663,Hilmi herhangi başka işle uğraşmak istiyor.,,,
cqt_99790,Selim kamyonet sahibi olmak istiyor.,,,
cdg_19873,Yaren başka bir şehirde ev sahibi olmak istiyor.,,,
csb_58605,Öğrenci soru sormak istiyor.,,,
cjs_24592,Prenses bu ara kurbağa öpmek istiyor.,,,
cdn_55381,Ayşe geziye bundan başka bir ülkeden başlamak istiyor.,,,
clj_20041,Hasta sırasını herhangi bir bekleme odasında beklemek istiyor.,,,
ckt_13404,Başka makaleye tarafından referans verilmesini istiyor Sezen.,,,
cyd_75427,Rüveyda başka dizide oyunculuk yapmaki istiyor.,,,
ccs_27050,Sacit yanlış ilacın şırıngaya bir hemşire tarafından koyulduğundan şüpheleniyor.,,,
czt_63085,Ilgın bundan başka bir yere yerleşmek istiyor.,,,
ckz_46436,Miray tamamlayacağı görevin yorucu olmasını istiyor.,,,
ctv_43017,Tüm uzayseverlerde merak uyandıran şey herhangi bir astronot tarafından verilen röportajdı.,,,
cna_55200,Selin'in almak istediği şey Büşra'nınki gibi bir çanta.,,,
crm_49207,Turan yola çıkacağı arabanın başka olmasını istiyor.,,,
clj_12269,Hayran olacağı eserin başka olmasını istiyor Hüma.,,,
cnt_51368,Pınar yiyeceği yemeğin başka olmasını istiyor.,,,
cib_29541,Hikmet Pelin'inki gibi uzun tırnaklara sahip olmak istiyor.,,,
cms_49306,Kaan mesleği marangozluk olan herhangi biriyle çalışmak istiyor.,,,
cwc_51508,Jülide başka bir Avrupa ülkesinde ziyaretçi olmak istiyor.,,,
clj_53173,Kötü deneyimler yaşayan Babür için bile herhangi bir pozitif düşünce üretmek mümkündü.,,,
cfr_59177,O postacı evleneceği kişinin bize komşu olmasını ve sıradışı yerlerden mektup almasını istiyormuş.,,,
cdg_86052,Kilimcinin kör oğlu dinleyeceği operetin benzersiz olmasını istiyordu.,,,
cjm_85123,Nilay ithalat yapacağı ülkenin başkası olmasını istiyordu.,,,
cst_87049,Meltem'inki gibi olmasını istiyorum okuyacağım kitabın.,,,
cgd_81875,Burak bundan başka herhangi bir okulda mutlu olabileceğini düşünüyor.,,,
clt_99134,Ferit konferans vereceği salonun buradaki gibi olmasını istiyor.,,,
crh_64816,Bakacağı manzaranın Urla'daki gibi olmasını istiyor Kağan.,,,